slno,constituency,candidate,party,pagelink,facebook,twitter
1,Amalapuram,"Chinta Anuradha,Smt.",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5085,http://www.facebook.com/chintaanuradha,http://www.twitter.com/chintaanuradha
2,Anakapalle,"Venkata Satyavathi,Dr. Beesetti",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5086,,
3,Anantapur,"Rangaiah,Shri Talari",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5087,,
4,Araku,"Madhavi,Smt. Goddeti",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5088,http://www.facebook.com/Madhuniha22,
5,Bapatla(SC),"Suresh,Shri Nandigam",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5089,http://www.facebook.com/Nandigam Suresh Babu,
6,Chittoor,"Nallakonda Gari,Shri Reddeppa",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5090,,
7,Eluru,"Sridhar,Shri Kotagiri",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5091,http://www.facebook.com/Sridhar kotagiri.eluru,
8,Guntur,"Galla,Shri Jayadev",TDP,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=4770,http://www.facebook.com/jayadev.galla,http://www.twitter.com/@jaygalla
9,Hindupur,"Madhav,Shri Kuruva Gorantla",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5092,,
10,kadapa,"Reddy,Shri Y. S. Avinash",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=4816,,
11,Kakinada,"Vanga,Smt. Geetha Viswanath",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5093,,
12,Kurnool,"Singari,Dr. Sanjeev Kumar",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5094,http://www.facebook.com/DR. SANJEEV KUMAR OFFICIAL,
13,Machilipatnam,"Vallabbhaneni,Shri Balashowry",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=4021,,
14,Nandyal,"Reddy,Shri Pocha Brahmananda",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5095,,
15,Narasaraopet,"Lavu,Shri Sri Krishna Devarayalu",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5096,http://www.facebook.com/Sri Krishnalavu/,
16,Narsapuram,"Kanumuru,Shri Raghu Ramakrishna Raju",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5097,,
17,Nellore,"Reddy,Shri Adala Prabhakara",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5100,,
18,Ongole,"Reddy,Shri Magunta Sreenivasulu",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=3907,,
19,Rajahmundry,"Margani,Shri Bharat Ram",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5098,,
20,Rajampet,"Reddy,Shri Midhun",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=4688,,
21,Srikakulam,"Ram Mohan Naidu,Shri Kinjarapu",TDP,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=4771,,
22,Tirupati,"Balli,Shri Durga Prasad Rao",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5101,,
23,Vijayawada,"Kesineni,Shri Srinivas",TDP,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=4701,,
24,Visakhapatnam,"Satyanarayana,Shri M V V",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5099,http://www.facebook.com/Mvv Satyanarayana,http://www.twitter.com/Mvv Satyanarayana
25,Vizianagaram,"Bellana,Shri  Chandra Sekhar",YSR Congress Party,http://164.100.47.194/Loksabha/Members/MemberBioprofile.aspx?mpsno=5102,,
